epoch,loss,lr,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.6823912858963013,0.01,0.6823912858963013,0.8260697722434998,30844116.0,30844116.0,5553.748046875
1,0.37658366560935974,0.01,0.37658366560935974,0.6136641502380371,522.5408325195312,522.5408325195312,22.85915184020996
2,0.287813276052475,0.01,0.287813276052475,0.5364823341369629,3.9165356159210205,3.9165356159210205,1.9790239334106445
3,0.24252015352249146,0.01,0.24252015352249146,0.4924633502960205,0.5358834266662598,0.5358834266662598,0.7320405840873718
4,0.22503745555877686,0.01,0.22503745555877686,0.47438111901283264,0.5999247431755066,0.5999247431755066,0.7745481133460999
5,0.23517629504203796,0.01,0.23517629504203796,0.4849497973918915,0.6976481080055237,0.6976481080055237,0.8352532982826233
6,0.21524041891098022,0.01,0.21524041891098022,0.4639401137828827,0.591555655002594,0.591555655002594,0.7691265344619751
7,0.21667104959487915,0.01,0.21667104959487915,0.46547937393188477,0.746496319770813,0.746496319770813,0.8640002012252808
8,0.21315088868141174,0.01,0.21315088868141174,0.46168267726898193,7.9388604164123535,7.9388604164123535,2.817598342895508
9,0.21570239961147308,0.01,0.21570239961147308,0.46443772315979004,0.6162165403366089,0.6162165403366089,0.7849946022033691
10,0.21752287447452545,0.01,0.21752287447452545,0.46639347076416016,0.9758559465408325,0.9758559465408325,0.9878542423248291
11,0.21037429571151733,0.01,0.21037429571151733,0.45866578817367554,0.48083963990211487,0.48083963990211487,0.6934260129928589
12,0.22262349724769592,0.01,0.22262349724769592,0.47182995080947876,2.412410259246826,2.412410259246826,1.5531935691833496
13,0.21624866127967834,0.01,0.21624866127967834,0.4650254547595978,0.4461069703102112,0.4461069703102112,0.6679124236106873
14,0.20928369462490082,0.01,0.20928369462490082,0.45747533440589905,0.5469759702682495,0.5469759702682495,0.7395782470703125
15,0.2014249563217163,0.01,0.2014249563217163,0.44880393147468567,0.5881417989730835,0.5881417989730835,0.7669040560722351
16,0.20149444043636322,0.01,0.20149444043636322,0.4488813281059265,43.52210235595703,43.52210235595703,6.597128391265869
17,0.2058766931295395,0.01,0.2058766931295395,0.4537363648414612,4.8922624588012695,4.8922624588012695,2.211845874786377
18,0.20806168019771576,0.01,0.20806168019771576,0.4561377763748169,0.5779323577880859,0.5779323577880859,0.760218620300293
19,0.2021343857049942,0.01,0.2021343857049942,0.44959357380867004,1.9163020849227905,1.9163020849227905,1.3843055963516235
20,0.21218231320381165,0.01,0.21218231320381165,0.4606325030326843,0.7649021148681641,0.7649021148681641,0.874586820602417
21,0.2020733803510666,0.01,0.2020733803510666,0.44952571392059326,0.5783311128616333,0.5783311128616333,0.7604808211326599
22,0.19729670882225037,0.01,0.19729670882225037,0.4441809356212616,29.159282684326172,29.159282684326172,5.399933815002441
23,0.22213420271873474,0.01,0.22213420271873474,0.47131115198135376,0.7258570194244385,0.7258570194244385,0.8519724011421204
24,0.208496555685997,0.01,0.208496555685997,0.456614226102829,0.590155303478241,0.590155303478241,0.7682156562805176
25,0.19597910344600677,0.01,0.19597910344600677,0.4426952600479126,6.4743547439575195,6.4743547439575195,2.5444753170013428
26,0.20041120052337646,0.01,0.20041120052337646,0.44767308235168457,0.6593945622444153,0.6593945622444153,0.8120311498641968
27,0.19569329917430878,0.01,0.19569329917430878,0.4423723518848419,4.310583591461182,4.310583591461182,2.0761945247650146
28,0.1950594186782837,0.01,0.1950594186782837,0.44165530800819397,0.6272234320640564,0.6272234320640564,0.7919743657112122
29,0.18878138065338135,0.01,0.18878138065338135,0.43448978662490845,9.457368850708008,9.457368850708008,3.0752835273742676
30,0.195259690284729,0.01,0.195259690284729,0.4418819844722748,0.7873757481575012,0.7873757481575012,0.8873419761657715
31,0.18403878808021545,0.01,0.18403878808021545,0.4289974272251129,0.8670160174369812,0.8670160174369812,0.931136965751648
32,0.18686538934707642,0.01,0.18686538934707642,0.4322792887687683,5.297049522399902,5.297049522399902,2.301532030105591
33,0.20134301483631134,0.01,0.20134301483631134,0.44871261715888977,0.6944665908813477,0.6944665908813477,0.8333466053009033
34,0.1878417432308197,0.01,0.1878417432308197,0.43340712785720825,0.6224440336227417,0.6224440336227417,0.7889512181282043
0,0.2013484388589859,0.01,0.2013484388589859,0.4487186670303345,14.762863159179688,14.762863159179688,3.842247247695923
0,0.1909717321395874,0.01,0.1909717321395874,0.43700313568115234,0.5941933393478394,0.5941933393478394,0.7708393931388855
1,0.19293728470802307,0.01,0.19293728470802307,0.439246267080307,0.914746105670929,0.914746105670929,0.9564235806465149
2,0.18685592710971832,0.01,0.18685592710971832,0.432268351316452,2.1284308433532715,2.1284308433532715,1.4589142799377441
3,0.18621082603931427,0.01,0.18621082603931427,0.43152153491973877,2.618069887161255,2.618069887161255,1.6180450916290283
4,0.18529270589351654,0.01,0.18529270589351654,0.43045639991760254,0.45215219259262085,0.45215219259262085,0.6724226474761963
5,0.18660792708396912,0.01,0.18660792708396912,0.4319813847541809,83.15167236328125,83.15167236328125,9.118753433227539
6,0.1879333257675171,0.01,0.1879333257675171,0.43351277709007263,1.2403061389923096,1.2403061389923096,1.1136903762817383
7,0.183949276804924,0.01,0.183949276804924,0.4288930892944336,0.6060753464698792,0.6060753464698792,0.7785084247589111
8,0.18669790029525757,0.01,0.18669790029525757,0.4320855140686035,0.6524627804756165,0.6524627804756165,0.8077516555786133
